loan_id,customer_id,product_code,branch_id,origination_date,current_balance,interest_rate,status,days_past_due,last_payment_date,next_payment_date,monthly_payment
LN-0000039,CUST-003809,PL-UNSEC,BR-024,2024-02-27,15576.42,11.3307,Active,0,2025-07-16,2025-09-18,598.65
LN-0000040,CUST-000236,AUTO,BR-011,2022-02-16,0,6.3535,Closed,0,2025-07-22,2025-09-16,0
LN-0000041,CUST-003901,MTG-FIX,BR-001,2022-02-05,371082.35,5.5333,Active,0,2025-07-25,2025-09-19,2469.98
LN-0000042,CUST-002060,MTG-FIX,BR-024,2023-02-20,361887.75,5.5618,Active,0,2025-07-15,2025-09-20,2352.21
LN-0000043,CUST-002427,MTG-FIX,BR-006,2021-01-28,172425.25,5.9772,Delinquent-30,48,2025-07-20,2025-09-17,1220.0
LN-0000044,CUST-003846,MTG-VAR,BR-011,2019-08-12,285189.53,6.3948,Active,0,2025-07-14,2025-09-20,2168.79
LN-0000045,CUST-002034,MTG-FIX,BR-025,2019-09-25,281874.01,4.6482,Active,0,2025-08-07,2025-09-15,1863.78
LN-0000046,CUST-000813,HELOC,BR-007,2023-04-08,115101.25,7.1068,Delinquent-30,43,2025-08-13,2025-09-16,1639.8
LN-0000047,CUST-003720,MTG-VAR,BR-008,2020-10-03,78810.82,5.901,Active,0,2025-07-21,2025-09-18,558.92
LN-0000048,CUST-002520,LOC,BR-004,2021-03-21,2363.72,10.2228,Active,0,2025-07-26,2025-09-19,405.78
LN-0000049,CUST-000170,HELOC,BR-002,2025-01-20,129372.55,6.2011,Active,0,2025-08-11,2025-09-18,1514.38
LN-0000050,CUST-002631,PL-UNSEC,BR-006,2022-02-13,780.5,12.3046,Active,0,2025-07-16,2025-09-18,160.93
LN-0000051,CUST-000010,MTG-VAR,BR-002,2025-03-03,0,5.1761,Closed,0,2025-08-07,2025-09-15,0
LN-0000052,CUST-001961,MTG-FIX,BR-018,2019-07-31,189056.1,5.6096,Active,0,2025-08-11,2025-09-20,1355.41
LN-0000053,CUST-003953,MTG-FIX,BR-015,2020-04-09,335801.15,4.7349,Delinquent-60,89,2025-08-05,2025-09-19,2195.0
LN-0000054,CUST-002318,AUTO,BR-019,2020-07-13,8768.65,6.4669,Active,0,2025-07-28,2025-09-15,903.06
LN-0000055,CUST-003138,AUTO,BR-025,2024-06-06,24586.6,7.4317,Active,0,2025-07-15,2025-09-16,513.27
LN-0000056,CUST-002720,HELOC,BR-015,2023-04-11,0,7.6592,Closed,0,2025-08-02,2025-09-16,0
LN-0000057,CUST-003114,MTG-FIX,BR-023,2020-09-24,110033.83,6.0631,Active,0,2025-08-10,2025-09-16,792.33
LN-0000058,CUST-000824,LOC,BR-023,2021-08-19,6348.88,12.1046,Active,0,2025-07-22,2025-09-19,612.69
LN-0000059,CUST-003134,MTG-VAR,BR-019,2023-01-08,277303.3,5.2911,Active,0,2025-07-22,2025-09-17,1765.79
LN-0000060,CUST-002451,MTG-FIX,BR-009,2019-02-08,485541.22,5.4305,Active,0,2025-07-16,2025-09-19,3480.38
LN-0000061,CUST-000402,HELOC,BR-010,2020-03-12,38722.0,7.4298,Delinquent-90,92,2025-07-24,2025-09-18,845.81
LN-0000062,CUST-000323,PL-UNSEC,BR-015,2021-02-17,2235.86,12.9055,Active,0,2025-07-18,2025-09-16,2259.91
LN-0000063,CUST-001348,MTG-FIX,BR-016,2022-08-31,0,4.8513,Closed,0,2025-08-13,2025-09-20,0
LN-0000064,CUST-002997,STUDENT,BR-013,2024-04-02,51784.78,4.4926,Delinquent-60,81,2025-08-01,2025-09-15,606.85
LN-0000065,CUST-002688,MTG-FIX,BR-003,2021-12-09,448580.66,6.1448,Active,0,2025-07-16,2025-09-17,3154.69
LN-0000066,CUST-001112,AUTO,BR-012,2020-04-22,1738.45,8.8119,Active,0,2025-07-18,2025-09-15,255.7
LN-0000067,CUST-001780,PL-SEC,BR-008,2020-09-24,4559.42,10.2746,Active,0,2025-08-13,2025-09-17,4598.46
LN-0000068,CUST-000175,LOC,BR-011,2023-01-09,3735.33,8.8794,Active,0,2025-08-09,2025-09-18,148.19
LN-0000069,CUST-001186,MTG-FIX,BR-009,2025-03-20,246276.1,4.9319,Active,0,2025-07-14,2025-09-16,1442.29
LN-0000070,CUST-000932,PL-UNSEC,BR-015,2023-01-07,8416.25,10.0466,Active,0,2025-07-16,2025-09-20,564.23
LN-0000071,CUST-003291,PL-UNSEC,BR-004,2019-06-27,2552.53,14.4069,Active,0,2025-08-05,2025-09-19,2583.18
LN-0000072,CUST-004142,HELOC,BR-023,2020-08-30,21137.04,6.6875,Active,0,2025-07-21,2025-09-17,406.85
LN-0000073,CUST-002561,MTG-FIX,BR-005,2021-05-30,309450.2,6.2762,Active,0,2025-07-31,2025-09-18,2225.71
LN-0000074,CUST-001002,PL-SEC,BR-022,2023-11-04,5955.08,10.694,Active,0,2025-07-14,2025-09-15,185.43
LN-0000075,CUST-000887,STUDENT,BR-018,2022-03-24,23894.67,4.8015,Active,0,2025-08-01,2025-09-19,358.18
LN-0000076,CUST-002191,MTG-VAR,BR-009,2025-04-16,655832.23,6.6369,Delinquent-60,77,2025-07-23,2025-09-16,4508.26
LN-0000077,CUST-003440,PL-SEC,BR-006,2020-08-09,2677.68,9.0039,Active,0,2025-07-31,2025-09-15,2697.77
LN-0000078,CUST-003622,MTG-VAR,BR-007,2019-12-14,484273.33,5.3112,Active,0,2025-08-09,2025-09-15,3351.89
LN-0000079,CUST-001731,PL-UNSEC,BR-009,2024-06-16,12014.55,10.5047,Active,0,2025-07-24,2025-09-15,410.09
LN-0000080,CUST-003574,MTG-VAR,BR-003,2020-06-13,245716.82,6.4073,Active,0,2025-08-06,2025-09-16,1829.99
LN-0000081,CUST-002965,LOC,BR-004,2023-09-07,11232.39,9.5252,Active,0,2025-08-07,2025-09-19,359.94
LN-0000082,CUST-002863,MTG-FIX,BR-021,2022-06-24,544694.43,4.9431,Active,0,2025-07-24,2025-09-15,3402.72
LN-0000083,CUST-003678,PL-UNSEC,BR-021,2020-09-18,2398.37,12.7608,Active,0,2025-08-08,2025-09-15,2423.87
LN-0000084,CUST-000740,MTG-VAR,BR-019,2022-01-30,363309.76,5.7039,Active,0,2025-07-31,2025-09-18,2268.14
LN-0000085,CUST-002814,AUTO,BR-021,2025-05-30,47341.72,6.6253,Active,0,2025-07-20,2025-09-19,826.95
LN-0000086,CUST-002742,MTG-FIX,BR-004,2024-11-11,526770.79,5.2278,Active,0,2025-07-13,2025-09-15,3197.29
LN-0000087,CUST-001057,AUTO,BR-018,2020-09-07,4378.13,7.5396,Delinquent-90,173,2025-07-27,2025-09-18,379.92
LN-0000088,CUST-003984,MTG-VAR,BR-005,2024-11-26,143928.63,6.3409,Active,0,2025-08-07,2025-09-15,969.76
LN-0000089,CUST-001482,MTG-FIX,BR-015,2025-01-19,572387.95,6.2674,Active,0,2025-07-17,2025-09-19,3819.63
LN-0000090,CUST-001590,MTG-FIX,BR-019,2022-03-13,0,6.0676,Delinquent-30,0,2025-07-13,2025-09-15,0
LN-0000091,CUST-003041,STUDENT,BR-017,2024-11-30,23036.48,4.5672,Active,0,2025-08-09,2025-09-19,254.84
LN-0000092,CUST-003399,LOC,BR-017,2024-10-03,9851.37,9.6874,Active,0,2025-08-04,2025-09-15,244.23
LN-0000093,CUST-001137,MTG-VAR,BR-020,2022-07-29,564296.88,6.6784,Active,0,2025-08-11,2025-09-17,4090.92
LN-0000094,CUST-003745,MTG-FIX,BR-016,2025-02-25,693811.1,5.7178,Delinquent-60,69,2025-07-12,2025-09-15,4391.5
LN-0000095,CUST-002955,AUTO,BR-018,2020-08-11,3057.86,5.5055,Active,0,2025-07-28,2025-09-16,360.6
LN-0000096,CUST-000850,AUTO,BR-002,2024-04-09,9062.13,6.8541,Active,0,2025-08-06,2025-09-20,192.47
LN-0000097,CUST-001635,MTG-VAR,BR-010,2024-03-18,574240.63,5.9571,Delinquent-60,62,2025-07-25,2025-09-16,3781.99
LN-0000098,CUST-003580,AUTO,BR-015,2021-02-21,5769.72,8.5175,Active,0,2025-08-04,2025-09-20,361.49
LN-0000099,CUST-001479,LOC,BR-004,2024-07-30,15149.04,11.4865,Active,0,2025-07-15,2025-09-17,401.76
LN-0000100,CUST-000470,MTG-FIX,BR-021,2023-10-12,187924.08,5.3878,Active,0,2025-08-03,2025-09-18,1186.91
LN-0000101,CUST-003137,HELOC,BR-005,2019-05-08,23208.2,7.5189,Active,0,2025-08-09,2025-09-17,605.14
LN-0000102,CUST-004089,PL-SEC,BR-018,2025-06-08,9738.18,8.8347,Delinquent-30,38,2025-08-07,2025-09-19,206.9
LN-0000103,CUST-000720,MTG-FIX,BR-012,2022-03-15,448031.34,6.4973,Active,0,2025-07-11,2025-09-17,3227.09
LN-0000104,CUST-001138,PL-SEC,BR-016,2020-10-07,2584.87,11.6366,Active,0,2025-07-30,2025-09-20,3655.07
LN-0000105,CUST-000605,MTG-FIX,BR-021,2025-03-09,161502.1,6.2685,Delinquent-60,82,2025-07-13,2025-09-15,1074.74
LN-0000106,CUST-001327,MTG-FIX,BR-023,2025-03-08,560311.59,4.8639,Active,0,2025-07-17,2025-09-15,3259.4
LN-0000107,CUST-001382,MTG-FIX,BR-022,2019-11-20,202394.79,5.7701,Active,0,2025-08-01,2025-09-16,1456.4
LN-0000108,CUST-003413,AUTO,BR-021,2019-06-18,0,5.5993,Closed,0,2025-08-09,2025-09-17,0
LN-0000109,CUST-001177,AUTO,BR-023,2023-07-22,16247.77,5.7554,Active,0,2025-08-12,2025-09-15,386.95
LN-0000110,CUST-003147,MTG-VAR,BR-006,2023-02-26,329937.28,5.2124,Active,0,2025-07-23,2025-09-18,2077.88
LN-0000111,CUST-004141,PL-UNSEC,BR-007,2020-10-14,1751.6,11.8457,Active,0,2025-08-13,2025-09-16,1768.89
LN-0000112,CUST-002998,AUTO,BR-002,2024-04-11,19045.35,5.5286,Active,0,2025-08-07,2025-09-20,386.63
LN-0000113,CUST-003227,AUTO,BR-011,2024-08-27,33035.92,7.4245,Active,0,2025-08-14,2025-09-17,660.79
LN-0000114,CUST-004224,AUTO,BR-020,2023-07-03,23636.96,5.6586,Active,0,2025-08-06,2025-09-17,572.8
LN-0000115,CUST-003413,MTG-VAR,BR-024,2022-10-09,338283.63,6.0194,Delinquent-60,69,2025-07-28,2025-09-15,2310.41
LN-0000116,CUST-003115,LOC,BR-022,2025-06-27,28863.02,11.107,Active,0,2025-08-06,2025-09-19,645.35
LN-0000117,CUST-000511,MTG-FIX,BR-007,2023-12-12,293712.07,4.8029,Active,0,2025-07-27,2025-09-16,1746.2
LN-0000118,CUST-002166,AUTO,BR-008,2020-12-10,7686.08,7.3659,Active,0,2025-08-07,2025-09-16,537.93
LN-0000119,CUST-003111,MTG-VAR,BR-012,2022-03-29,426693.88,6.3805,Restructured,8,2025-08-03,2025-09-20,3038.09
LN-0000120,CUST-002226,STUDENT,BR-020,2019-11-20,8959.41,5.5483,Active,0,2025-07-26,2025-09-15,201.11
LN-0000121,CUST-001127,PL-SEC,BR-006,2021-07-13,0,7.2625,Closed,0,2025-08-06,2025-09-20,0
LN-0000122,CUST-000306,HELOC,BR-006,2021-03-27,116239.28,6.7181,Active,0,2025-08-10,2025-09-18,2085.38
LN-0000123,CUST-000880,STUDENT,BR-015,2021-02-02,31331.72,7.3675,Delinquent-30,58,2025-07-31,2025-09-17,586.05
LN-0000124,CUST-001526,STUDENT,BR-011,2024-08-27,0,4.6748,Closed,0,2025-07-26,2025-09-18,0
LN-0000125,CUST-002033,PL-UNSEC,BR-013,2023-07-19,11732.25,11.8493,Active,0,2025-07-13,2025-09-16,572.72
LN-0000126,CUST-004117,MTG-FIX,BR-004,2025-06-04,105712.93,5.8074,Active,0,2025-07-24,2025-09-20,670.72
LN-0000127,CUST-001790,AUTO,BR-025,2020-07-01,-16874.29,7.0924,Active,0,2025-07-24,2025-09-18,559.81
LN-0000128,CUST-001228,AUTO,BR-017,2023-01-21,7259.11,7.4746,Active,0,2025-07-16,2025-09-15,201.17
LN-0000129,CUST-002525,HELOC,BR-009,2024-09-21,116885.37,6.1391,Active,0,2025-07-14,2025-09-18,1401.65
LN-0000130,CUST-001475,PL-UNSEC,BR-021,2022-11-12,6253.99,12.0176,Active,0,2025-07-28,2025-09-19,480.99
LN-0000131,CUST-002849,STUDENT,BR-018,2023-04-16,20830.81,7.2099,Restructured,4,2025-07-29,2025-09-16,295.4
LN-0000132,CUST-002259,MTG-VAR,BR-024,2019-04-04,505155.29,5.926,Delinquent-60,77,2025-07-11,2025-09-16,3751.34
LN-0000133,CUST-002005,PL-UNSEC,BR-015,2019-03-06,963.17,8.9374,Active,0,2025-07-16,2025-09-16,970.34
LN-0000134,CUST-001941,MTG-FIX,BR-005,2024-08-25,787937.84,4.9683,Active,0,2025-08-02,2025-09-20,4688.79
LN-0000135,CUST-002822,STUDENT,BR-017,2025-03-30,56475.08,7.079,Active,0,2025-08-09,2025-09-18,677.75
LN-0000136,CUST-001099,MTG-VAR,BR-009,2025-01-12,340585.99,6.6987,Active,0,2025-07-24,2025-09-20,2363.91
LN-0000137,CUST-001778,MTG-FIX,BR-011,2020-01-14,315211.09,6.1588,Delinquent-60,81,2025-08-08,2025-09-17,2327.51
LN-0000138,CUST-002319,MTG-VAR,BR-018,2020-04-25,443173.16,6.5087,Active,0,2025-08-08,2025-09-17,3340.85
LN-0000139,CUST-000375,AUTO,BR-005,2024-03-23,11709.92,8.9346,Default,274,2025-08-05,2025-09-19,260.25
LN-0000140,CUST-002109,MTG-FIX,BR-021,2022-04-24,165315.37,5.1597,Delinquent-30,56,2025-08-04,2025-09-15,1057.35
LN-0000141,CUST-000609,PL-SEC,BR-001,2020-07-27,3866.3,9.4416,Active,0,2025-08-06,2025-09-16,3896.72
LN-0000142,CUST-003370,HELOC,BR-017,2019-02-07,24509.17,7.14,Active,0,2025-07-28,2025-09-20,675.43
LN-0000143,CUST-002068,PL-SEC,BR-013,2023-10-30,22540.82,11.5489,Active,0,2025-08-05,2025-09-20,711.06
LN-0000144,CUST-003900,MTG-FIX,BR-001,2021-07-14,223437.42,6.1561,Active,0,2025-07-14,2025-09-16,1588.15
LN-0000145,CUST-003896,PL-SEC,BR-003,2022-09-18,10604.72,11.2898,Active,0,2025-07-21,2025-09-15,478.01
LN-0000146,CUST-001970,PL-SEC,BR-018,2021-01-04,4877.36,8.5724,Active,0,2025-07-27,2025-09-18,1241.19
LN-0000147,CUST-003250,MTG-VAR,BR-021,2019-11-18,263737.76,6.9486,Restructured,19,2025-07-30,2025-09-17,2077.83
LN-0000148,CUST-000673,MTG-VAR,BR-013,2023-03-18,317502.14,6.1418,Active,0,2025-08-08,2025-09-19,2210.29
LN-0000149,CUST-003531,PL-SEC,BR-018,2020-03-12,40020.52,11.7148,Active,0,2025-07-16,2025-09-19,864.53
LN-0000150,CUST-001390,AUTO,BR-005,2022-08-21,30076.04,5.5432,Active,0,2025-08-11,2025-09-17,908.76
LN-0000151,CUST-000877,MTG-VAR,BR-001,2022-02-04,260935.42,5.9685,Active,0,2025-07-30,2025-09-18,1801.06
LN-0000152,CUST-001646,STUDENT,BR-006,2022-09-11,20699.92,5.5072,Delinquent-60,79,2025-08-04,2025-09-18,297.53
LN-0000153,CUST-001637,STUDENT,BR-025,2024-07-04,47011.86,6.7369,Active,0,2025-07-21,2025-09-19,589.69
LN-0000154,CUST-002481,AUTO,BR-022,2023-12-01,37597.21,8.4095,Active,0,2025-07-29,2025-09-18,879.32
LN-0000155,CUST-000697,MTG-FIX,BR-008,2024-05-16,497581.8,5.5687,Active,0,2025-07-24,2025-09-18,3151.31
LN-0000156,CUST-004250,PL-SEC,BR-012,2023-06-25,27224.42,8.658,Active,0,2025-07-21,2025-09-20,905.81
LN-0000157,CUST-001695,MTG-VAR,BR-016,2022-11-13,562916.91,5.9655,Active,0,2025-08-01,2025-09-19,3819.73
LN-0000158,CUST-001430,MTG-FIX,BR-018,2019-07-03,510121.32,4.6715,Active,0,2025-07-15,2025-09-20,3423.5
LN-0000159,CUST-001760,HELOC,BR-025,2021-02-02,92188.52,7.0803,Active,0,2025-07-28,2025-09-18,1711.72
LN-0000160,CUST-002568,PL-SEC,BR-013,2025-01-08,10972.9,8.6299,Delinquent-30,38,2025-07-22,2025-09-20,249.73
LN-0000161,CUST-003059,AUTO,BR-013,2022-05-03,29961.36,7.5656,Active,0,2025-08-08,2025-09-16,1036.85
LN-0000162,CUST-003695,HELOC,BR-012,2025-01-10,211753.58,7.6132,Active,0,2025-08-13,2025-09-17,2630.92
LN-0000163,CUST-000253,STUDENT,BR-002,2025-04-19,31156.81,5.7324,Active,0,2025-08-10,2025-09-19,350.47
LN-0000164,CUST-003616,MTG-VAR,BR-004,2024-07-21,358211.97,5.2264,Active,0,2025-08-14,2025-09-18,2189.01
LN-0000165,CUST-002873,PL-SEC,BR-020,2019-05-13,2557.48,8.7429,Delinquent-90,105,2025-07-13,2025-09-19,2576.11
LN-0000166,CUST-000781,MTG-FIX,BR-014,2022-12-07,371265.95,5.6937,Active,0,2025-08-09,2025-09-15,2455.36
LN-0000167,CUST-002202,LOC,BR-015,2020-06-27,1649.03,11.057,Active,0,2025-07-25,2025-09-17,1664.22
LN-0000168,CUST-000764,MTG-FIX,BR-022,2022-02-13,472225.74,6.2546,Active,0,2025-08-02,2025-09-19,3339.11
LN-0000169,CUST-003976,PL-SEC,BR-022,2023-10-26,24053.67,9.4736,Active,0,2025-07-16,2025-09-15,735.16
LN-0000170,CUST-002473,PL-UNSEC,BR-009,2019-03-08,572.32,14.0747,Delinquent-60,73,2025-08-02,2025-09-17,579.03
LN-0000171,CUST-001749,MTG-FIX,BR-005,2020-11-08,109110.2,5.7512,Active,0,2025-07-15,2025-09-15,762.74
LN-0000172,CUST-000840,AUTO,BR-012,2022-11-08,30907.74,8.9585,Active,0,2025-07-31,2025-09-16,937.19
LN-0000173,CUST-002877,LOC,BR-024,2020-06-29,2925.37,10.8857,Delinquent-30,48,2025-07-14,2025-09-17,2951.91
LN-0000174,CUST-002269,MTG-FIX,BR-018,2019-12-22,489317.05,4.78,Delinquent-90,134,2025-07-11,2025-09-18,3244.13
LN-0000175,CUST-003210,AUTO,BR-002,2019-04-20,0,7.8044,Closed,0,2025-07-30,2025-09-18,0
LN-0000176,CUST-003448,PL-UNSEC,BR-022,2021-09-14,1766.65,12.3605,Active,0,2025-07-14,2025-09-20,1784.85
LN-0000177,CUST-003404,MTG-FIX,BR-013,2019-10-04,86227.19,4.9315,Active,0,2025-07-16,2025-09-15,581.82
LN-0000178,CUST-000542,MTG-FIX,BR-014,2022-06-23,141258.28,6.3418,Active,0,2025-08-07,2025-09-18,997.14
LN-0000179,CUST-001125,PL-SEC,BR-016,2023-11-15,5592.23,10.0615,Active,0,2025-07-24,2025-09-19,168.71
LN-0000180,CUST-003518,STUDENT,BR-003,2020-11-14,13388.4,6.6242,Delinquent-30,53,2025-08-01,2025-09-17,255.59
LN-0000181,CUST-000945,MTG-VAR,BR-017,2024-09-23,292894.03,5.9992,Active,0,2025-08-12,2025-09-17,1918.2
LN-0000182,CUST-002637,MTG-FIX,BR-024,2023-01-30,341372.79,4.8002,Active,0,2025-07-28,2025-09-19,2074.27
LN-0000183,CUST-000708,MTG-VAR,BR-012,2019-08-04,163635.47,6.6087,Active,0,2025-08-07,2025-09-15,1267.54
LN-0000184,CUST-000196,MTG-FIX,BR-012,2024-03-15,353200.02,6.4437,Active,0,2025-08-14,2025-09-19,2430.54
LN-0000185,CUST-001167,AUTO,BR-002,2023-03-22,33269.29,8.0453,Active,0,2025-08-04,2025-09-18,893.15
LN-0000186,CUST-000511,LOC,BR-005,2023-03-06,12243.99,11.2395,Active,0,2025-07-26,2025-09-18,470.05
LN-0000187,CUST-003818,MTG-FIX,BR-004,2022-08-29,244986.99,5.0439,Delinquent-60,64,2025-07-21,2025-09-20,1537.94
LN-0000188,CUST-002686,AUTO,BR-023,2021-12-21,24811.81,5.8165,Active,0,2025-07-13,2025-09-15,982.62
LN-0000189,CUST-001146,MTG-FIX,BR-002,2021-12-01,594553.24,4.8477,Active,0,2025-08-14,2025-09-16,3739.45
LN-0000190,CUST-003633,PL-UNSEC,BR-011,2023-03-05,7848.51,14.5942,Delinquent-60,68,2025-08-08,2025-09-16,488.13
LN-0000191,CUST-001534,MTG-FIX,BR-015,2023-11-10,0,5.29,Closed,0,2025-07-14,2025-09-15,0
LN-0000192,CUST-002042,LOC,BR-023,2022-04-23,8264.73,11.9139,Active,0,2025-07-14,2025-09-18,457.66
LN-0000193,CUST-002302,MTG-VAR,BR-016,2024-08-19,0,5.5409,Closed,0,2025-07-11,2025-09-18,0
LN-0000194,CUST-003182,AUTO,BR-006,2020-02-15,2498.11,6.344,Restructured,18,2025-08-13,2025-09-18,507.57
LN-0000195,CUST-000311,MTG-FIX,BR-008,2019-04-26,423669.15,5.2034,Active,0,2025-07-12,2025-09-17,2968.0
LN-0000196,CUST-001161,AUTO,BR-017,2021-04-05,14073.76,6.6927,Active,0,2025-07-11,2025-09-19,782.73
LN-0000197,CUST-003992,LOC,BR-023,2023-06-09,0,9.1828,Closed,0,2025-07-19,2025-09-15,0
LN-0000198,CUST-000015,STUDENT,BR-025,2021-07-03,22240.73,6.8506,Delinquent-30,53,2025-07-26,2025-09-15,386.32
LN-0000199,CUST-002618,STUDENT,BR-003,2021-06-23,0,4.3644,Closed,0,2025-07-17,2025-09-20,0
LN-0000200,CUST-003162,PL-UNSEC,BR-014,2019-02-16,928.5,10.122,Active,0,2025-07-27,2025-09-15,936.33
LN-0000201,CUST-000604,STUDENT,BR-001,2025-02-14,24414.23,6.9008,Active,0,2025-07-11,2025-09-19,292.57
LN-0000202,CUST-003534,MTG-VAR,BR-014,2023-03-18,183720.43,5.15,Active,0,2025-08-09,2025-09-20,1148.22
LN-0000203,CUST-004022,MTG-FIX,BR-012,2025-03-19,536648.17,5.9599,Active,0,2025-08-13,2025-09-16,3469.93
LN-0000204,CUST-004007,MTG-FIX,BR-021,2024-05-21,200974.74,4.5515,Active,0,2025-07-14,2025-09-19,1154.89
LN-0000205,CUST-000793,AUTO,BR-012,2023-12-31,8356.12,7.0391,Active,0,2025-08-14,2025-09-17,186.91
LN-0000206,CUST-003902,PL-UNSEC,BR-013,2019-09-07,2777.49,13.8196,Active,0,2025-07-28,2025-09-20,2809.48
LN-0000207,CUST-001736,LOC,BR-002,2025-05-29,0,10.6014,Closed,0,2025-08-14,2025-09-18,0
