customer_id,bureau_score,total_debt,num_credit_accounts,num_delinquencies_12m,bankruptcy_flag,inquiry_count_6m,oldest_account_years,utilization_pct,report_date
CUST-003626,720,454077.44,6,0,N,8,3,61.7,2025-08-31
CUST-001921,553,199006.83,9,2,N,3,13,94.1,2025-08-31
CUST-003442,841,233213.52,14,0,N,8,9,80.8,2025-08-31
CUST-001807,654,80039.71,12,0,N,2,20,57.0,2025-08-31
CUST-000688,783,237128.13,2,0,N,1,13,66.7,2025-08-31
CUST-000427,685,266297.99,2,0,N,8,10,53.1,2025-08-31
CUST-002100,831,219715.56,4,1,N,5,3,31.3,2025-08-31
CUST-001625,807,145458.5,9,0,N,6,3,30.8,2025-08-31
CUST-002796,664,482975.5,14,1,N,7,21,29.4,2025-08-31
CUST-003809,574,92491.43,3,0,N,7,1,65.6,2025-08-31
CUST-000236,729,96971.9,7,0,N,7,9,78.5,2025-08-31
CUST-003901,637,172006.28,6,0,N,0,7,44.4,2025-08-31
CUST-002427,663,253326.86,6,1,N,7,5,80.9,2025-08-31
CUST-003846,744,112633.86,14,0,N,5,23,56.9,2025-08-31
CUST-002034,600,459406.37,5,2,N,6,13,14.8,2025-08-31
CUST-000813,672,221493.77,10,1,N,7,10,82.7,2025-08-31
CUST-003720,766,243497.13,1,4,N,6,15,62.1,2025-08-31
CUST-002520,680,191858.46,1,2,N,1,2,52.5,2025-08-31
CUST-000170,715,473294.58,9,2,N,0,15,31.6,2025-08-31
CUST-002631,703,248444.06,6,1,N,7,22,77.3,2025-08-31
CUST-000010,753,457363.44,12,2,N,5,25,56.8,2025-08-31
CUST-001961,660,115997.22,9,0,N,3,5,27.7,2025-08-31
CUST-003953,747,110173.55,7,3,N,2,22,16.8,2025-08-31
CUST-002318,583,172601.29,12,3,N,7,22,81.1,2025-08-31
CUST-003138,548,75563.98,6,0,N,8,4,22.0,2025-08-31
CUST-002720,670,316635.29,2,0,N,0,25,33.4,2025-08-31
CUST-003114,809,303799.43,1,3,N,8,25,17.4,2025-08-31
CUST-000824,750,173213.14,1,0,N,7,18,20.5,2025-08-31
CUST-003134,752,242795.98,2,0,N,2,23,70.5,2025-08-31
CUST-002451,722,107913.03,12,0,N,7,16,37.6,2025-08-31
CUST-000402,505,319223.82,2,0,N,7,22,44.5,2025-08-31
CUST-000323,692,232826.68,11,2,N,2,19,76.6,2025-08-31
CUST-001348,746,424940.4,15,0,N,8,7,9.3,2025-08-31
CUST-002997,594,180436.74,2,0,N,4,11,53.1,2025-08-31
CUST-002688,689,459721.92,9,0,N,4,8,7.7,2025-08-31
CUST-001112,650,399034.79,4,0,N,1,11,86.7,2025-08-31
CUST-001780,559,486849.14,14,1,N,5,14,92.6,2025-08-31
CUST-000175,661,266059.62,8,0,N,6,10,12.4,2025-08-31
CUST-001186,711,305515.5,14,4,N,6,17,73.7,2025-08-31
CUST-000932,592,91192.45,3,0,N,6,4,44.2,2025-08-31
CUST-003291,800,449175.15,1,0,N,6,18,33.8,2025-08-31
CUST-004142,811,376351.43,8,0,N,7,19,20.1,2025-08-31
CUST-002561,572,117991.44,8,3,N,2,8,78.4,2025-08-31
CUST-001002,788,429262.01,2,0,N,8,8,62.5,2025-08-31
CUST-000887,605,18487.2,12,4,N,2,5,78.6,2025-08-31
CUST-002191,733,36696.17,8,0,N,6,17,92.8,2025-08-31
CUST-003440,734,380343.4,7,0,N,1,19,49.8,2025-08-31
CUST-003622,645,75559.93,10,0,N,6,7,18.9,2025-08-31
CUST-001731,808,483026.88,14,0,N,4,10,93.7,2025-08-31
CUST-002965,694,232886.59,3,0,N,5,2,20.6,2025-08-31
CUST-002863,696,241133.39,4,0,N,1,11,27.1,2025-08-31
CUST-003678,786,254711.07,11,5,N,0,14,26.2,2025-08-31
CUST-000740,699,278319.04,13,1,N,2,6,62.7,2025-08-31
CUST-002814,601,358754.8,15,0,N,5,10,36.4,2025-08-31
CUST-002742,697,372571.11,1,0,N,1,17,13.0,2025-08-31
CUST-003984,620,398439.37,10,0,N,2,6,78.7,2025-08-31
CUST-001482,645,377309.45,4,0,N,3,22,20.2,2025-08-31
CUST-001590,706,478573.01,7,1,N,8,2,62.5,2025-08-31
CUST-003041,717,233883.68,2,2,N,6,9,45.9,2025-08-31
CUST-003399,592,195492.22,9,0,N,8,21,33.8,2025-08-31
CUST-001137,795,67147.58,5,0,N,8,9,91.6,2025-08-31
CUST-003745,716,367469.96,11,0,N,2,23,64.1,2025-08-31
CUST-002955,715,498232.16,1,1,N,0,13,31.8,2025-08-31
CUST-000850,662,345896.11,10,0,N,0,18,56.8,2025-08-31
CUST-001635,643,217370.56,14,1,N,8,23,9.5,2025-08-31
CUST-003580,691,355007.68,6,0,N,2,11,72.7,2025-08-31
CUST-001479,566,331291.27,11,3,Y,4,1,44.5,2025-08-31
CUST-000470,752,369823.01,5,0,N,1,22,25.0,2025-08-31
CUST-003137,698,74896.25,3,1,N,2,3,16.1,2025-08-31
CUST-004089,734,35388.66,14,1,N,0,9,55.9,2025-08-31
CUST-000720,690,281886.21,2,0,N,1,22,91.2,2025-08-31
CUST-000605,768,280329.85,12,0,N,7,13,33.8,2025-08-31
CUST-001327,668,154069.7,8,1,N,6,8,77.5,2025-08-31
CUST-001382,645,255240.73,1,0,N,7,8,52.5,2025-08-31
CUST-003413,692,205864.46,8,1,N,3,21,13.1,2025-08-31
CUST-001177,766,114923.03,5,0,N,4,24,42.5,2025-08-31
CUST-003147,723,378333.59,7,0,N,5,18,74.0,2025-08-31
CUST-004141,668,348449.41,4,0,N,8,3,39.1,2025-08-31
CUST-002998,728,338098.42,14,1,N,0,19,88.9,2025-08-31
CUST-003227,703,117024.88,13,0,N,6,13,14.5,2025-08-31
CUST-004224,767,189260.24,7,3,N,5,7,16.5,2025-08-31
CUST-003115,728,294349.85,4,0,N,4,17,42.4,2025-08-31
CUST-000511,650,127316.64,7,1,N,2,23,38.0,2025-08-31
CUST-002166,693,492608.15,15,0,N,7,2,11.6,2025-08-31
CUST-003111,628,326384.81,13,0,N,3,25,53.1,2025-08-31
CUST-002226,806,71486.37,8,0,N,7,20,56.6,2025-08-31
CUST-001127,838,272217.84,9,2,N,5,5,41.2,2025-08-31
CUST-000306,545,129589.0,1,0,N,8,15,61.3,2025-08-31
CUST-000880,667,217879.03,9,3,N,5,19,54.1,2025-08-31
CUST-001526,683,419847.27,3,0,N,6,23,8.2,2025-08-31
CUST-002033,618,194708.84,10,0,N,5,23,53.2,2025-08-31
CUST-004117,514,249839.24,11,3,N,4,16,25.8,2025-08-31
CUST-001790,732,81177.1,12,2,N,5,15,46.8,2025-08-31
CUST-001228,742,55975.4,3,0,N,4,25,17.2,2025-08-31
CUST-002525,652,404686.49,2,0,N,0,1,9.0,2025-08-31
CUST-001475,718,425480.39,4,1,Y,2,1,15.0,2025-08-31
CUST-002849,737,316807.88,8,2,N,5,10,51.0,2025-08-31
CUST-002259,555,75359.91,7,2,N,2,2,90.5,2025-08-31
CUST-002005,664,386522.71,12,5,N,0,2,32.1,2025-08-31
CUST-001941,596,200867.54,8,2,N,7,23,17.5,2025-08-31
CUST-002822,694,186775.75,13,1,N,1,17,52.7,2025-08-31
CUST-001099,767,317789.11,8,0,Y,3,19,94.7,2025-08-31
CUST-001778,598,449878.92,8,0,N,8,1,42.4,2025-08-31
CUST-002319,761,140800.32,7,2,N,5,5,91.4,2025-08-31
CUST-000375,716,179719.53,2,0,N,7,17,60.7,2025-08-31
CUST-002109,739,79195.2,1,0,N,1,23,82.3,2025-08-31
CUST-000609,650,497073.94,3,1,Y,4,1,5.8,2025-08-31
CUST-003370,740,257374.16,14,4,N,7,7,46.2,2025-08-31
CUST-003900,677,299533.33,9,3,N,0,12,21.8,2025-08-31
CUST-003896,688,478631.29,2,0,N,2,14,54.8,2025-08-31
CUST-001970,655,109764.96,13,0,N,0,22,36.7,2025-08-31
CUST-003250,810,205326.66,3,5,N,1,9,52.3,2025-08-31
CUST-000673,681,373604.64,11,4,N,8,23,12.5,2025-08-31
CUST-003531,641,208197.53,12,0,N,3,14,64.0,2025-08-31
CUST-001390,748,430790.71,10,3,Y,0,15,60.9,2025-08-31
CUST-001646,690,357092.28,2,4,N,4,3,89.7,2025-08-31
CUST-001637,763,304603.72,9,4,N,8,18,8.2,2025-08-31
CUST-002481,713,481650.07,10,0,N,6,1,31.6,2025-08-31
CUST-004250,687,445427.01,6,0,N,0,24,88.4,2025-08-31
CUST-001695,725,118978.85,15,0,N,7,14,85.4,2025-08-31
CUST-001430,720,428329.53,15,0,N,1,20,40.9,2025-08-31
CUST-001760,683,366009.66,9,2,N,2,19,73.5,2025-08-31
CUST-002568,725,396832.54,4,0,N,4,16,22.3,2025-08-31
CUST-003059,594,128880.39,15,0,N,4,8,77.5,2025-08-31
CUST-003695,686,349154.35,1,0,N,7,22,31.5,2025-08-31
CUST-000253,772,321119.23,2,0,N,3,6,42.1,2025-08-31
CUST-003616,777,192797.97,5,1,N,2,10,69.8,2025-08-31
CUST-002873,737,388624.15,2,0,N,0,4,83.0,2025-08-31
CUST-000781,747,247819.23,1,0,N,3,16,71.7,2025-08-31
CUST-002202,539,314620.76,15,1,N,3,22,64.4,2025-08-31
CUST-000764,682,344507.08,3,0,N,5,16,66.3,2025-08-31
CUST-003976,656,296944.39,10,3,N,6,19,85.1,2025-08-31
CUST-002473,664,31053.94,1,0,N,4,20,66.3,2025-08-31
CUST-001749,773,78400.01,5,0,N,3,19,34.3,2025-08-31
CUST-000840,679,171509.12,7,0,N,8,17,31.8,2025-08-31
CUST-002877,629,54170.45,3,0,N,3,19,27.8,2025-08-31
CUST-002269,745,156686.39,5,0,N,1,1,13.9,2025-08-31
CUST-003210,731,346018.2,4,0,N,1,10,90.7,2025-08-31
CUST-003448,749,237808.55,5,0,N,3,2,54.2,2025-08-31
CUST-003404,542,140864.84,3,3,N,5,2,42.2,2025-08-31
CUST-000542,682,239287.22,5,0,N,5,7,87.7,2025-08-31
CUST-001125,781,24096.38,9,1,N,3,3,6.0,2025-08-31
CUST-003518,683,58809.1,4,1,N,8,25,21.4,2025-08-31
CUST-000945,727,260190.45,8,0,N,8,21,92.0,2025-08-31
CUST-002637,852,278166.59,1,1,N,3,10,19.2,2025-08-31
CUST-000708,691,186607.15,10,2,N,6,2,11.6,2025-08-31
CUST-000196,722,69685.31,13,0,N,7,1,65.3,2025-08-31
CUST-001167,754,477062.32,3,1,N,2,4,32.9,2025-08-31
CUST-003818,740,370732.0,6,0,N,3,11,44.5,2025-08-31
CUST-002686,744,230407.28,4,0,N,6,19,43.6,2025-08-31
CUST-001146,640,349890.3,4,0,N,0,16,72.7,2025-08-31
CUST-003633,800,128286.2,12,2,N,3,19,77.0,2025-08-31
CUST-001534,775,139195.0,3,0,N,2,16,28.3,2025-08-31
CUST-002042,656,390474.64,1,0,N,7,2,53.0,2025-08-31
CUST-002302,688,218927.11,11,0,N,0,17,13.6,2025-08-31
CUST-003182,580,249582.36,11,1,N,5,9,74.7,2025-08-31
CUST-000311,611,434326.95,1,0,N,7,22,39.9,2025-08-31
CUST-001161,690,225300.63,9,0,N,8,12,72.3,2025-08-31
CUST-003992,788,37561.93,7,3,N,6,6,80.9,2025-08-31
CUST-000015,610,27127.75,6,0,N,8,13,72.8,2025-08-31
CUST-002618,708,155787.56,9,0,N,0,4,24.2,2025-08-31
CUST-003162,587,57789.61,15,0,Y,5,1,20.1,2025-08-31
CUST-000604,697,446652.23,14,1,N,0,19,24.5,2025-08-31
CUST-003534,772,233901.7,8,0,N,0,13,10.7,2025-08-31
CUST-004022,695,122595.3,9,0,N,4,13,84.0,2025-08-31
CUST-004007,659,279911.61,2,0,Y,0,1,38.4,2025-08-31
CUST-000793,591,411207.93,1,0,N,6,23,68.0,2025-08-31
CUST-003902,639,389704.06,9,0,N,5,17,52.8,2025-08-31
CUST-001736,670,491468.19,10,0,N,0,25,57.2,2025-08-31
CUST-002672,726,225127.78,9,0,N,5,6,40.5,2025-08-31
CUST-000828,697,102153.76,1,0,N,1,18,14.3,2025-08-31
CUST-001868,712,111155.35,12,3,N,3,3,17.9,2025-08-31
CUST-001303,742,201108.93,4,2,N,6,14,83.8,2025-08-31
CUST-002953,667,15826.5,10,1,N,5,19,21.2,2025-08-31
CUST-001340,685,81192.07,1,0,N,6,22,66.8,2025-08-31
CUST-000073,880,93822.07,3,2,N,1,5,49.8,2025-08-31
CUST-003824,809,424016.45,7,0,N,3,9,79.9,2025-08-31
CUST-002664,802,13644.36,2,4,N,8,8,42.2,2025-08-31
CUST-000209,682,158502.83,3,0,N,8,6,91.7,2025-08-31
CUST-002937,694,112944.86,8,0,N,4,17,45.3,2025-08-31
CUST-001821,766,103440.85,5,0,N,1,23,49.9,2025-08-31
CUST-001594,566,367252.57,10,0,N,2,16,86.0,2025-08-31
CUST-000663,827,80655.96,2,0,N,8,16,53.3,2025-08-31
CUST-002821,752,120288.59,4,0,N,0,4,59.6,2025-08-31
CUST-004016,779,248924.91,4,0,N,5,14,64.3,2025-08-31
CUST-000307,639,413007.34,8,0,N,5,20,27.8,2025-08-31
CUST-001255,833,179924.7,11,0,N,5,7,28.9,2025-08-31
CUST-002316,714,458316.43,8,2,N,4,3,13.6,2025-08-31
CUST-000023,643,270082.1,6,2,N,5,12,10.2,2025-08-31
CUST-002164,679,355817.03,10,3,N,5,19,84.3,2025-08-31
CUST-001397,607,303670.53,15,0,N,1,5,69.2,2025-08-31
CUST-003455,655,11007.27,6,0,N,2,25,69.7,2025-08-31
CUST-000237,587,331085.63,1,0,N,7,11,38.4,2025-08-31
CUST-000614,689,207994.6,1,2,N,8,18,84.9,2025-08-31
CUST-000973,731,333891.74,9,2,N,8,24,47.6,2025-08-31
CUST-002793,858,158560.95,5,0,N,7,7,67.5,2025-08-31
CUST-002910,766,317367.16,7,0,N,7,10,46.9,2025-08-31
CUST-002769,587,479375.05,3,3,N,3,8,14.7,2025-08-31
CUST-003957,739,313155.82,11,5,N,6,10,93.1,2025-08-31
CUST-003710,755,221589.43,4,3,N,2,19,72.0,2025-08-31
CUST-002381,718,173617.57,7,0,N,4,6,92.9,2025-08-31
CUST-003420,594,77736.23,10,0,N,7,11,85.3,2025-08-31
CUST-002418,795,65080.72,15,1,N,1,13,23.2,2025-08-31
CUST-003126,754,44895.14,9,0,N,0,24,38.7,2025-08-31
CUST-001586,795,190400.08,13,0,N,6,19,73.6,2025-08-31
CUST-003821,557,354159.03,8,0,N,8,10,50.3,2025-08-31
CUST-000559,644,413999.2,2,0,N,7,20,74.7,2025-08-31
CUST-004235,694,159871.61,9,0,N,2,13,10.1,2025-08-31
CUST-001747,561,149523.36,9,0,N,1,16,43.2,2025-08-31
CUST-000445,610,334948.0,12,0,N,6,9,13.3,2025-08-31
CUST-000519,770,339302.9,14,0,N,5,23,14.9,2025-08-31
CUST-003204,733,82649.06,2,0,N,6,5,13.4,2025-08-31
CUST-000698,561,184584.95,13,1,N,6,6,55.7,2025-08-31
CUST-000446,758,269917.33,10,0,N,3,4,80.9,2025-08-31
CUST-003981,739,135107.87,10,0,N,4,19,60.3,2025-08-31
CUST-002945,812,24314.03,4,0,N,4,24,19.7,2025-08-31
CUST-000627,733,317498.98,7,3,N,8,12,21.7,2025-08-31
CUST-001830,641,106578.26,2,1,N,8,25,82.5,2025-08-31
CUST-001468,727,496837.44,5,0,N,3,12,55.6,2025-08-31
CUST-000381,771,292293.28,1,1,Y,2,7,42.3,2025-08-31
CUST-002061,750,425150.76,14,0,N,3,25,26.8,2025-08-31
CUST-002301,604,285212.9,12,3,N,0,14,6.7,2025-08-31
CUST-002323,683,158292.49,6,1,N,3,17,20.4,2025-08-31
CUST-002808,668,209477.13,2,0,N,8,22,8.0,2025-08-31
CUST-000320,804,453991.87,2,2,N,0,16,75.9,2025-08-31
CUST-003124,748,192695.87,13,0,N,8,7,22.0,2025-08-31
CUST-000045,651,124796.51,8,1,N,8,8,73.3,2025-08-31
CUST-002258,681,144694.13,12,0,N,5,8,72.1,2025-08-31
CUST-001883,727,238920.65,11,0,N,8,15,38.3,2025-08-31
CUST-003864,681,259777.76,6,1,N,2,7,63.3,2025-08-31
CUST-004245,671,143059.47,1,0,N,3,18,94.7,2025-08-31
CUST-003322,731,211331.43,2,0,N,6,25,70.6,2025-08-31
CUST-003310,777,61949.18,14,3,N,8,2,70.9,2025-08-31
CUST-003962,779,464989.08,8,0,N,2,10,84.7,2025-08-31
CUST-002587,693,408567.78,13,0,N,5,21,35.7,2025-08-31
CUST-002205,694,445161.4,2,0,N,8,6,5.9,2025-08-31
CUST-000874,667,21824.49,8,1,N,1,15,83.2,2025-08-31
CUST-004188,703,149504.95,9,1,N,5,3,67.1,2025-08-31
CUST-003769,724,123297.05,3,1,N,2,24,53.2,2025-08-31
CUST-003050,700,41263.66,13,0,N,0,12,94.7,2025-08-31
CUST-001226,811,452579.2,2,3,N,3,25,23.9,2025-08-31
CUST-000492,555,424774.74,15,3,N,2,19,79.3,2025-08-31
CUST-001630,775,188328.9,8,4,N,1,1,74.4,2025-08-31
CUST-003316,744,429858.82,14,1,N,4,19,24.5,2025-08-31
CUST-001507,668,447828.44,5,1,N,6,17,62.1,2025-08-31
CUST-000682,670,85019.83,7,0,N,5,6,59.2,2025-08-31
CUST-002665,598,464417.78,1,0,N,1,23,48.3,2025-08-31
CUST-002537,801,75077.88,4,1,N,4,19,49.2,2025-08-31
CUST-004030,747,489010.49,3,3,N,0,8,29.7,2025-08-31
CUST-003193,698,240481.12,9,0,N,3,21,47.3,2025-08-31
CUST-003731,694,66919.28,2,0,N,8,22,68.0,2025-08-31
CUST-001235,835,499260.8,10,0,N,2,21,31.8,2025-08-31
CUST-003852,673,224842.5,11,1,N,1,4,59.4,2025-08-31
CUST-001708,781,153604.67,13,2,N,3,12,15.0,2025-08-31
CUST-001934,746,142617.86,15,0,N,0,2,66.1,2025-08-31
CUST-004096,735,149850.45,6,0,N,7,22,72.7,2025-08-31
CUST-002846,666,90567.42,1,0,N,2,12,32.3,2025-08-31
CUST-003838,655,160874.69,8,1,N,6,18,45.3,2025-08-31
CUST-000154,783,288805.97,2,0,N,1,11,77.0,2025-08-31
CUST-000789,688,151360.2,15,1,N,7,11,7.7,2025-08-31
CUST-000581,788,65483.04,14,0,N,7,20,66.6,2025-08-31
CUST-000334,652,151246.18,9,0,Y,7,21,47.1,2025-08-31
CUST-000865,696,334775.58,7,0,N,1,13,83.0,2025-08-31
CUST-003046,792,60495.05,13,0,N,4,9,52.5,2025-08-31
CUST-002331,700,22036.06,15,0,N,6,12,82.7,2025-08-31
CUST-001268,747,448233.93,4,2,N,3,23,16.9,2025-08-31
CUST-001417,737,439039.39,2,0,N,6,12,5.9,2025-08-31
CUST-003558,791,373050.73,6,0,N,4,8,25.0,2025-08-31
CUST-002678,665,498127.65,14,0,N,1,17,60.7,2025-08-31
CUST-000404,525,177435.34,10,0,N,1,6,55.7,2025-08-31
CUST-003524,687,262344.21,8,0,N,5,19,90.5,2025-08-31
CUST-003687,810,30343.49,14,0,N,5,18,9.6,2025-08-31
CUST-000357,753,70926.44,4,0,N,6,1,59.9,2025-08-31
CUST-003167,698,469303.99,15,1,N,5,23,80.4,2025-08-31
CUST-002498,734,343015.99,1,0,N,5,10,42.2,2025-08-31
CUST-000242,671,249460.53,6,3,N,0,20,44.1,2025-08-31
CUST-002698,798,181905.28,10,0,N,6,17,36.2,2025-08-31
CUST-002601,700,111323.4,7,0,N,6,20,34.7,2025-08-31
CUST-002243,767,406779.35,1,0,N,1,15,77.6,2025-08-31
CUST-001676,698,223346.99,4,0,N,0,23,92.2,2025-08-31
CUST-000316,734,269608.59,9,2,N,6,5,50.1,2025-08-31
CUST-003261,560,425799.16,1,1,N,2,19,56.7,2025-08-31
CUST-001109,742,317214.68,3,4,N,6,6,35.8,2025-08-31
CUST-003682,657,212161.61,6,1,N,6,12,68.8,2025-08-31
CUST-001329,495,21135.07,13,0,N,1,20,86.6,2025-08-31
CUST-004077,743,409001.43,4,0,N,5,19,66.8,2025-08-31
CUST-001454,831,360089.14,5,0,N,6,1,21.5,2025-08-31
CUST-002697,652,117723.63,11,1,N,0,16,34.3,2025-08-31
CUST-002593,823,380630.87,7,0,N,6,5,37.5,2025-08-31
CUST-000013,789,261390.9,9,1,N,4,11,50.4,2025-08-31
CUST-002308,646,297369.85,10,0,N,6,6,28.0,2025-08-31
CUST-003925,769,239502.14,1,1,N,0,25,29.8,2025-08-31
CUST-002585,740,313272.44,8,0,N,7,21,28.2,2025-08-31
CUST-001536,576,226109.35,10,1,N,6,1,9.5,2025-08-31
CUST-004229,728,130553.25,12,0,N,3,19,61.0,2025-08-31
CUST-002560,606,395187.88,4,0,N,0,19,41.3,2025-08-31
CUST-004212,741,20832.77,1,3,N,8,18,88.1,2025-08-31
CUST-000414,720,249635.47,10,3,N,1,13,63.2,2025-08-31
CUST-003815,652,178195.42,8,0,N,0,14,88.9,2025-08-31
CUST-002707,696,265522.91,6,1,N,0,19,19.6,2025-08-31
CUST-000582,698,318936.63,6,1,N,2,22,46.8,2025-08-31
CUST-001935,684,230169.28,11,0,N,6,25,77.0,2025-08-31
CUST-001685,629,186504.63,6,1,N,4,7,71.3,2025-08-31
CUST-000512,591,481040.92,13,1,N,7,2,23.9,2025-08-31
CUST-003136,675,458317.98,14,0,N,2,20,51.4,2025-08-31
CUST-000588,675,315563.41,15,3,N,4,23,31.5,2025-08-31
CUST-003723,532,210312.33,11,2,N,6,2,77.6,2025-08-31
CUST-003959,698,319537.01,4,0,N,4,6,34.1,2025-08-31
CUST-000640,809,385287.69,2,0,N,3,22,85.8,2025-08-31
CUST-002491,849,321728.74,4,0,N,4,12,65.9,2025-08-31
CUST-002105,764,413231.09,13,0,N,4,16,88.1,2025-08-31
CUST-001189,586,295845.43,10,0,N,2,24,84.7,2025-08-31
CUST-003267,759,301266.74,3,0,N,0,1,55.1,2025-08-31
CUST-000337,707,87645.11,2,1,N,0,21,68.7,2025-08-31
CUST-001981,717,184905.43,10,0,N,4,8,47.8,2025-08-31
CUST-002321,775,354740.87,9,3,N,1,6,81.5,2025-08-31
CUST-003533,647,267791.09,8,4,N,8,16,34.0,2025-08-31
CUST-003199,700,424209.17,12,0,N,8,9,74.1,2025-08-31
CUST-003950,760,407817.89,7,0,N,6,16,33.5,2025-08-31
CUST-003185,758,269107.53,10,2,N,4,19,46.7,2025-08-31
CUST-003755,553,392579.99,14,0,N,3,12,24.9,2025-08-31
CUST-002518,667,337893.52,10,0,N,3,2,7.6,2025-08-31
CUST-001126,651,127026.27,1,0,N,7,16,42.4,2025-08-31
CUST-002220,818,18584.79,14,0,N,6,19,74.0,2025-08-31
CUST-001573,813,465600.84,7,1,N,7,4,7.0,2025-08-31
CUST-003887,560,154882.32,4,5,N,5,23,50.1,2025-08-31
CUST-001441,721,39010.61,10,0,N,8,17,18.3,2025-08-31
CUST-003380,545,30762.53,15,3,N,3,24,15.1,2025-08-31
CUST-001043,742,422628.74,2,0,N,8,5,21.3,2025-08-31
CUST-001882,594,177717.17,1,0,N,8,2,11.6,2025-08-31
CUST-001221,698,170576.46,14,1,N,0,23,63.8,2025-08-31
CUST-003332,672,168208.59,5,0,N,7,1,21.2,2025-08-31
CUST-003321,786,226162.14,9,0,N,2,15,15.4,2025-08-31
CUST-001697,821,157622.74,1,0,N,1,24,13.2,2025-08-31
CUST-000549,645,132936.68,14,0,N,1,24,65.5,2025-08-31
CUST-000520,728,182751.77,10,0,Y,0,22,35.9,2025-08-31
CUST-000657,780,14140.16,8,0,N,2,20,14.8,2025-08-31
CUST-003883,764,117539.73,13,0,N,6,3,20.2,2025-08-31
CUST-003983,799,276670.63,14,0,N,1,15,93.4,2025-08-31
CUST-001318,687,13470.29,3,3,N,1,25,77.8,2025-08-31
CUST-000285,723,231909.95,3,2,N,5,1,51.6,2025-08-31
CUST-004157,783,213116.38,10,2,N,8,18,24.2,2025-08-31
CUST-000329,547,287097.83,8,3,N,3,25,24.7,2025-08-31
CUST-003650,701,425148.91,8,0,N,4,5,86.6,2025-08-31
CUST-002524,719,177758.34,2,0,N,4,24,48.3,2025-08-31
CUST-001122,721,401723.1,12,4,N,3,18,10.2,2025-08-31
CUST-003872,647,24867.08,15,3,N,6,10,17.2,2025-08-31
CUST-003573,734,101477.91,7,2,N,5,4,84.9,2025-08-31
CUST-002234,781,99311.32,13,2,N,2,5,16.4,2025-08-31
CUST-002591,758,227437.83,14,1,N,6,5,60.6,2025-08-31
CUST-001267,679,43155.74,11,2,N,1,2,68.2,2025-08-31
CUST-000955,686,84720.17,15,1,N,1,4,39.1,2025-08-31
CUST-000975,728,304364.88,9,3,N,5,7,43.8,2025-08-31
CUST-001316,784,148091.74,1,0,N,5,14,14.7,2025-08-31
CUST-002960,783,182145.76,2,0,N,8,25,87.1,2025-08-31
CUST-003897,714,25501.14,7,1,N,5,8,28.2,2025-08-31
CUST-002775,749,176058.85,10,0,N,7,19,25.4,2025-08-31
CUST-004190,676,157244.31,2,3,N,5,20,49.5,2025-08-31
CUST-001252,710,363739.82,3,0,N,2,21,38.1,2025-08-31
CUST-000259,613,309002.43,4,0,N,8,7,91.6,2025-08-31
CUST-003188,733,87978.35,1,1,N,6,19,18.1,2025-08-31
CUST-002890,725,406668.47,2,0,N,5,4,37.9,2025-08-31
CUST-002029,651,490899.49,3,5,N,1,11,37.7,2025-08-31
CUST-003451,783,7618.06,7,1,N,0,16,83.5,2025-08-31
CUST-002782,786,197422.04,2,0,N,2,17,37.5,2025-08-31
CUST-000754,717,388229.18,12,1,N,4,2,10.7,2025-08-31
